strategy,direction,sl_pct,tp_pct,max_bars,total_trades,wins,losses,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe,avg_win_pct,avg_loss_pct,coins_used,period
bb-squeeze-short,short,7,7,48,8,4,4,50.0,0.92,-1.29,10.5,-1.22,3.79,-4.11,1,3m
bb-squeeze-short,short,7,7,48,16,12,4,75.0,2.43,23.58,10.5,8.87,3.34,-4.11,1,6m
bb-squeeze-short,short,7,7,48,22,14,8,63.6,1.51,14.28,11.0,3.4,3.01,-3.49,1,1y
bb-squeeze-short,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y
bb-squeeze-short,long,7,7,48,4,1,3,25.0,0.48,-4.5,8.4,-16.31,4.11,-2.87,1,3m
bb-squeeze-short,long,7,7,48,7,3,4,42.9,0.41,-8.42,13.6,-13.81,1.97,-3.58,1,6m
bb-squeeze-short,long,7,7,48,22,11,11,50.0,0.65,-8.73,13.6,-3.39,1.47,-2.26,1,1y
bb-squeeze-short,long,7,7,48,46,25,21,54.3,1.22,11.42,18.8,1.1,2.49,-2.42,1,2y
bb-squeeze-short,short,7,7,48,8,4,4,50.0,0.92,-1.29,10.5,-1.22,3.79,-4.11,1,3m
bb-squeeze-short,short,7,7,48,16,12,4,75.0,2.43,23.58,10.5,8.87,3.34,-4.11,1,6m
bb-squeeze-short,short,7,7,48,22,14,8,63.6,1.51,14.28,11.0,3.4,3.01,-3.49,1,1y
bb-squeeze-short,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y
bb-squeeze-short,both,7,7,48,12,5,7,41.7,0.77,-5.79,10.5,-3.22,3.85,-3.58,1,3m
bb-squeeze-short,both,7,7,48,23,15,8,65.2,1.49,15.16,13.6,3.33,3.06,-3.85,1,6m
bb-squeeze-short,both,7,7,48,44,25,19,56.8,1.11,5.55,20.0,0.56,2.33,-2.78,1,1y
bb-squeeze-short,both,7,7,48,92,49,43,53.3,1.25,27.57,25.9,0.86,2.78,-2.53,1,2y
bb-squeeze-long,long,7,7,48,4,1,3,25.0,0.48,-4.5,8.4,-16.31,4.11,-2.87,1,3m
bb-squeeze-long,long,7,7,48,7,3,4,42.9,0.41,-8.42,13.6,-13.81,1.97,-3.58,1,6m
bb-squeeze-long,long,7,7,48,22,11,11,50.0,0.65,-8.73,13.6,-3.39,1.47,-2.26,1,1y
bb-squeeze-long,long,7,7,48,46,25,21,54.3,1.22,11.42,18.8,1.1,2.49,-2.42,1,2y
bb-squeeze-long,long,7,7,48,4,1,3,25.0,0.48,-4.5,8.4,-16.31,4.11,-2.87,1,3m
bb-squeeze-long,long,7,7,48,7,3,4,42.9,0.41,-8.42,13.6,-13.81,1.97,-3.58,1,6m
bb-squeeze-long,long,7,7,48,22,11,11,50.0,0.65,-8.73,13.6,-3.39,1.47,-2.26,1,1y
bb-squeeze-long,long,7,7,48,46,25,21,54.3,1.22,11.42,18.8,1.1,2.49,-2.42,1,2y
bb-squeeze-long,short,7,7,48,8,4,4,50.0,0.92,-1.29,10.5,-1.22,3.79,-4.11,1,3m
bb-squeeze-long,short,7,7,48,16,12,4,75.0,2.43,23.58,10.5,8.87,3.34,-4.11,1,6m
bb-squeeze-long,short,7,7,48,22,14,8,63.6,1.51,14.28,11.0,3.4,3.01,-3.49,1,1y
bb-squeeze-long,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y
bb-squeeze-long,both,7,7,48,12,5,7,41.7,0.77,-5.79,10.5,-3.22,3.85,-3.58,1,3m
bb-squeeze-long,both,7,7,48,23,15,8,65.2,1.49,15.16,13.6,3.33,3.06,-3.85,1,6m
bb-squeeze-long,both,7,7,48,44,25,19,56.8,1.11,5.55,20.0,0.56,2.33,-2.78,1,1y
bb-squeeze-long,both,7,7,48,92,49,43,53.3,1.25,27.57,25.9,0.86,2.78,-2.53,1,2y
momentum-long,long,7,7,48,10,3,7,30.0,0.35,-13.79,18.6,-13.01,2.53,-3.05,1,3m
momentum-long,long,7,7,48,19,5,14,26.3,0.28,-28.82,27.3,-11.23,2.23,-2.86,1,6m
momentum-long,long,7,7,48,44,16,28,36.4,0.45,-31.39,30.1,-4.28,1.61,-2.04,1,1y
momentum-long,long,7,7,48,79,32,47,40.5,0.8,-20.5,41.2,-0.89,2.55,-2.17,1,2y
momentum-long,long,7,7,48,10,3,7,30.0,0.35,-13.79,18.6,-13.01,2.53,-3.05,1,3m
momentum-long,long,7,7,48,19,5,14,26.3,0.28,-28.82,27.3,-11.23,2.23,-2.86,1,6m
momentum-long,long,7,7,48,44,16,28,36.4,0.45,-31.39,30.1,-4.28,1.61,-2.04,1,1y
momentum-long,long,7,7,48,79,32,47,40.5,0.8,-20.5,41.2,-0.89,2.55,-2.17,1,2y
momentum-long,both,7,7,48,10,3,7,30.0,0.35,-13.79,18.6,-13.01,2.53,-3.05,1,3m
momentum-long,both,7,7,48,19,5,14,26.3,0.28,-28.82,27.3,-11.23,2.23,-2.86,1,6m
momentum-long,both,7,7,48,44,16,28,36.4,0.45,-31.39,30.1,-4.28,1.61,-2.04,1,1y
momentum-long,both,7,7,48,79,32,47,40.5,0.8,-20.5,41.2,-0.89,2.55,-2.17,1,2y
atr-breakout,long,7,7,48,4,2,2,50.0,82.92,8.34,0.1,39.92,4.22,-0.05,1,3m
atr-breakout,long,7,7,48,13,6,7,46.2,0.79,-3.63,14.6,-2.28,2.33,-2.52,1,6m
atr-breakout,long,7,7,48,29,15,14,51.7,1.19,5.8,14.6,1.14,2.4,-2.16,1,1y
atr-breakout,long,7,7,48,62,31,31,50.0,1.13,9.51,20.2,0.55,2.73,-2.43,1,2y
atr-breakout,long,7,7,48,4,2,2,50.0,82.92,8.34,0.1,39.92,4.22,-0.05,1,3m
atr-breakout,long,7,7,48,13,6,7,46.2,0.79,-3.63,14.6,-2.28,2.33,-2.52,1,6m
atr-breakout,long,7,7,48,29,15,14,51.7,1.19,5.8,14.6,1.14,2.4,-2.16,1,1y
atr-breakout,long,7,7,48,62,31,31,50.0,1.13,9.51,20.2,0.55,2.73,-2.43,1,2y
atr-breakout,short,7,7,48,9,5,4,55.6,2.06,12.59,8.5,10.41,4.9,-2.98,1,3m
atr-breakout,short,7,7,48,17,8,9,47.1,1.84,19.32,9.4,6.05,5.3,-2.57,1,6m
atr-breakout,short,7,7,48,33,15,18,45.5,1.27,11.0,14.1,1.56,3.48,-2.29,1,1y
atr-breakout,short,7,7,48,67,33,34,49.3,1.35,32.48,21.1,1.36,3.84,-2.77,1,2y
atr-breakout,both,7,7,48,13,7,6,53.8,2.74,20.93,8.5,11.12,4.71,-2.0,1,3m
atr-breakout,both,7,7,48,30,14,16,46.7,1.39,15.69,14.6,2.29,4.03,-2.54,1,6m
atr-breakout,both,7,7,48,62,30,32,48.4,1.24,16.8,19.0,0.98,2.94,-2.23,1,1y
atr-breakout,both,7,7,48,129,64,65,49.6,1.25,41.99,21.1,0.72,3.3,-2.61,1,2y
hv-squeeze,short,7,7,48,24,16,8,66.7,2.49,30.86,9.0,6.82,3.23,-2.59,1,3m
hv-squeeze,short,7,7,48,49,30,19,61.2,2.38,51.76,9.0,4.49,2.97,-1.97,1,6m
hv-squeeze,short,7,7,48,94,46,48,48.9,1.13,12.55,40.3,0.43,2.45,-2.09,1,1y
hv-squeeze,short,7,7,48,195,94,101,48.2,0.94,-16.92,63.0,-0.16,2.79,-2.76,1,2y
hv-squeeze,long,7,7,48,15,9,6,60.0,1.9,10.56,8.6,6.57,2.47,-1.95,1,3m
hv-squeeze,long,7,7,48,40,21,19,52.5,0.69,-19.26,32.2,-2.17,2.02,-3.25,1,6m
hv-squeeze,long,7,7,48,84,45,39,53.6,1.0,0.44,32.2,0.02,2.14,-2.46,1,1y
hv-squeeze,long,7,7,48,177,84,93,47.5,0.98,-3.36,32.2,-0.04,2.58,-2.37,1,2y
hv-squeeze,short,7,7,48,24,16,8,66.7,2.49,30.86,9.0,6.82,3.23,-2.59,1,3m
hv-squeeze,short,7,7,48,49,30,19,61.2,2.38,51.76,9.0,4.49,2.97,-1.97,1,6m
hv-squeeze,short,7,7,48,94,46,48,48.9,1.13,12.55,40.3,0.43,2.45,-2.09,1,1y
hv-squeeze,short,7,7,48,195,94,101,48.2,0.94,-16.92,63.0,-0.16,2.79,-2.76,1,2y
hv-squeeze,both,7,7,48,39,25,14,64.1,2.28,41.42,9.0,4.88,2.95,-2.32,1,3m
hv-squeeze,both,7,7,48,89,51,38,57.3,1.33,32.5,32.2,1.1,2.58,-2.61,1,6m
hv-squeeze,both,7,7,48,178,91,87,51.1,1.07,12.99,51.2,0.17,2.3,-2.25,1,1y
hv-squeeze,both,7,7,48,372,178,194,47.8,0.96,-20.28,66.6,-0.08,2.69,-2.57,1,2y
rsi-divergence,both,7,7,48,14,4,10,28.6,0.44,-18.82,22.3,-8.25,3.72,-3.37,1,3m
rsi-divergence,both,7,7,48,29,10,19,34.5,0.53,-25.9,28.8,-4.23,2.95,-2.92,1,6m
rsi-divergence,both,7,7,48,58,24,34,41.4,0.71,-24.37,36.1,-1.62,2.45,-2.45,1,1y
rsi-divergence,both,7,7,48,115,47,68,40.9,0.65,-74.49,61.7,-1.48,2.88,-3.09,1,2y
rsi-divergence,long,7,7,48,11,3,8,27.3,0.37,-17.85,22.3,-10.84,3.51,-3.55,1,3m
rsi-divergence,long,7,7,48,18,6,12,33.3,0.48,-21.4,26.7,-6.29,3.25,-3.41,1,6m
rsi-divergence,long,7,7,48,31,11,20,35.5,0.56,-22.85,30.0,-3.62,2.65,-2.6,1,1y
rsi-divergence,long,7,7,48,57,21,36,36.8,0.47,-70.3,55.9,-3.73,2.94,-3.67,1,2y
rsi-divergence,short,7,7,48,3,1,2,33.3,0.82,-0.97,5.2,-5.3,4.34,-2.66,1,3m
rsi-divergence,short,7,7,48,11,4,7,36.4,0.69,-4.5,8.7,-4.45,2.49,-2.07,1,6m
rsi-divergence,short,7,7,48,27,13,14,48.1,0.95,-1.52,14.2,-0.36,2.28,-2.23,1,1y
rsi-divergence,short,7,7,48,58,26,32,44.8,0.95,-4.19,23.6,-0.26,2.84,-2.44,1,2y
rsi-divergence,both,7,7,48,14,4,10,28.6,0.44,-18.82,22.3,-8.25,3.72,-3.37,1,3m
rsi-divergence,both,7,7,48,29,10,19,34.5,0.53,-25.9,28.8,-4.23,2.95,-2.92,1,6m
rsi-divergence,both,7,7,48,58,24,34,41.4,0.71,-24.37,36.1,-1.62,2.45,-2.45,1,1y
rsi-divergence,both,7,7,48,115,47,68,40.9,0.65,-74.49,61.7,-1.48,2.88,-3.09,1,2y
macd-cross,both,7,7,48,48,16,32,33.3,0.6,-31.09,33.2,-2.57,2.89,-2.42,1,3m
macd-cross,both,7,7,48,97,36,61,37.1,0.65,-49.88,46.1,-1.51,2.61,-2.36,1,6m
macd-cross,both,7,7,48,201,81,120,40.3,0.7,-77.48,63.2,-0.87,2.18,-2.12,1,1y
macd-cross,both,7,7,48,412,178,234,43.2,0.73,-164.62,85.8,-0.56,2.45,-2.57,1,2y
macd-cross,long,7,7,48,26,9,17,34.6,0.5,-22.86,28.9,-4.63,2.59,-2.72,1,3m
macd-cross,long,7,7,48,53,19,34,35.8,0.51,-46.05,44.0,-3.31,2.5,-2.75,1,6m
macd-cross,long,7,7,48,105,42,63,40.0,0.71,-37.78,44.0,-1.12,2.24,-2.1,1,1y
macd-cross,long,7,7,48,206,87,119,42.2,0.76,-70.02,59.8,-0.66,2.61,-2.5,1,2y
macd-cross,short,7,7,48,22,7,15,31.8,0.74,-8.23,13.0,-2.27,3.28,-2.08,1,3m
macd-cross,short,7,7,48,44,17,27,38.6,0.92,-3.83,13.6,-0.41,2.73,-1.86,1,6m
macd-cross,short,7,7,48,96,39,57,40.6,0.68,-39.7,39.1,-1.36,2.12,-2.15,1,1y
macd-cross,short,7,7,48,206,91,115,44.2,0.69,-94.6,69.9,-0.91,2.31,-2.65,1,2y
macd-cross,both,7,7,48,48,16,32,33.3,0.6,-31.09,33.2,-2.57,2.89,-2.42,1,3m
macd-cross,both,7,7,48,97,36,61,37.1,0.65,-49.88,46.1,-1.51,2.61,-2.36,1,6m
macd-cross,both,7,7,48,201,81,120,40.3,0.7,-77.48,63.2,-0.87,2.18,-2.12,1,1y
macd-cross,both,7,7,48,412,178,234,43.2,0.73,-164.62,85.8,-0.56,2.45,-2.57,1,2y
donchian-breakout,both,7,7,48,50,30,20,60.0,1.6,35.14,15.0,2.56,3.11,-2.91,1,3m
donchian-breakout,both,7,7,48,103,55,48,53.4,1.22,28.1,31.8,0.73,2.84,-2.67,1,6m
donchian-breakout,both,7,7,48,213,108,105,50.7,1.05,11.73,46.1,0.12,2.3,-2.26,1,1y
donchian-breakout,both,7,7,48,440,216,224,49.1,0.98,-13.36,60.0,-0.04,2.63,-2.6,1,2y
donchian-breakout,long,7,7,48,22,13,9,59.1,1.16,4.27,15.0,1.22,2.42,-3.02,1,3m
donchian-breakout,long,7,7,48,48,24,24,50.0,0.72,-19.84,31.8,-1.77,2.11,-2.93,1,6m
donchian-breakout,long,7,7,48,106,53,53,50.0,0.89,-12.63,34.6,-0.4,1.93,-2.17,1,1y
donchian-breakout,long,7,7,48,222,107,115,48.2,0.92,-20.66,36.8,-0.19,2.32,-2.34,1,2y
donchian-breakout,short,7,7,48,28,17,11,60.7,2.0,30.87,12.3,4.99,3.64,-2.82,1,3m
donchian-breakout,short,7,7,48,55,31,24,56.4,1.83,47.95,12.9,3.04,3.41,-2.41,1,6m
donchian-breakout,short,7,7,48,107,55,52,51.4,1.2,24.36,30.9,0.63,2.66,-2.35,1,1y
donchian-breakout,short,7,7,48,218,109,109,50.0,1.02,7.3,54.9,0.06,2.94,-2.87,1,2y
donchian-breakout,both,7,7,48,50,30,20,60.0,1.6,35.14,15.0,2.56,3.11,-2.91,1,3m
donchian-breakout,both,7,7,48,103,55,48,53.4,1.22,28.1,31.8,0.73,2.84,-2.67,1,6m
donchian-breakout,both,7,7,48,213,108,105,50.7,1.05,11.73,46.1,0.12,2.3,-2.26,1,1y
