value,value_classification,timestamp,time_until_update
26,Fear,2025-03-29,
32,Fear,2025-03-30,
34,Fear,2025-03-31,
34,Fear,2025-04-01,
44,Fear,2025-04-02,
25,Extreme Fear,2025-04-03,
28,Fear,2025-04-04,
30,Fear,2025-04-05,
34,Fear,2025-04-06,
23,Extreme Fear,2025-04-07,
24,Extreme Fear,2025-04-08,
18,Extreme Fear,2025-04-09,
39,Fear,2025-04-10,
25,Extreme Fear,2025-04-11,
43,Fear,2025-04-12,
45,Fear,2025-04-13,
31,Fear,2025-04-14,
38,Fear,2025-04-15,
29,Fear,2025-04-16,
30,Fear,2025-04-17,
33,Fear,2025-04-18,
32,Fear,2025-04-19,
37,Fear,2025-04-20,
39,Fear,2025-04-21,
47,Neutral,2025-04-22,
72,Greed,2025-04-23,
63,Greed,2025-04-24,
60,Greed,2025-04-25,
65,Greed,2025-04-26,
61,Greed,2025-04-27,
54,Neutral,2025-04-28,
60,Greed,2025-04-29,
56,Greed,2025-04-30,
53,Neutral,2025-05-01,
67,Greed,2025-05-02,
65,Greed,2025-05-03,
64,Greed,2025-05-04,
52,Neutral,2025-05-05,
59,Greed,2025-05-06,
67,Greed,2025-05-07,
65,Greed,2025-05-08,
73,Greed,2025-05-09,
70,Greed,2025-05-10,
70,Greed,2025-05-11,
70,Greed,2025-05-12,
70,Greed,2025-05-13,
73,Greed,2025-05-14,
70,Greed,2025-05-15,
71,Greed,2025-05-16,
74,Greed,2025-05-17,
74,Greed,2025-05-18,
74,Greed,2025-05-19,
71,Greed,2025-05-20,
70,Greed,2025-05-21,
72,Greed,2025-05-22,
78,Extreme Greed,2025-05-23,
66,Greed,2025-05-24,
74,Greed,2025-05-25,
73,Greed,2025-05-26,
74,Greed,2025-05-27,
71,Greed,2025-05-28,
74,Greed,2025-05-29,
60,Greed,2025-05-30,
50,Neutral,2025-05-31,
56,Greed,2025-06-01,
64,Greed,2025-06-02,
64,Greed,2025-06-03,
62,Greed,2025-06-04,
57,Greed,2025-06-05,
45,Fear,2025-06-06,
52,Neutral,2025-06-07,
62,Greed,2025-06-08,
62,Greed,2025-06-09,
71,Greed,2025-06-10,
72,Greed,2025-06-11,
71,Greed,2025-06-12,
61,Greed,2025-06-13,
63,Greed,2025-06-14,
60,Greed,2025-06-15,
61,Greed,2025-06-16,
68,Greed,2025-06-17,
52,Neutral,2025-06-18,
57,Greed,2025-06-19,
54,Neutral,2025-06-20,
49,Neutral,2025-06-21,
42,Fear,2025-06-22,
47,Neutral,2025-06-23,
65,Greed,2025-06-24,
66,Greed,2025-06-25,
74,Greed,2025-06-26,
65,Greed,2025-06-27,
65,Greed,2025-06-28,
68,Greed,2025-06-29,
66,Greed,2025-06-30,
64,Greed,2025-07-01,
63,Greed,2025-07-02,
73,Greed,2025-07-03,
73,Greed,2025-07-04,
67,Greed,2025-07-05,
66,Greed,2025-07-06,
73,Greed,2025-07-07,
65,Greed,2025-07-08,
66,Greed,2025-07-09,
71,Greed,2025-07-10,
71,Greed,2025-07-11,
79,Extreme Greed,2025-07-12,
74,Greed,2025-07-13,
74,Greed,2025-07-14,
73,Greed,2025-07-15,
70,Greed,2025-07-16,
74,Greed,2025-07-17,
73,Greed,2025-07-18,
74,Greed,2025-07-19,
72,Greed,2025-07-20,
71,Greed,2025-07-21,
72,Greed,2025-07-22,
74,Greed,2025-07-23,
71,Greed,2025-07-24,
70,Greed,2025-07-25,
72,Greed,2025-07-26,
73,Greed,2025-07-27,
75,Greed,2025-07-28,
73,Greed,2025-07-29,
74,Greed,2025-07-30,
72,Greed,2025-07-31,
65,Greed,2025-08-01,
55,Greed,2025-08-02,
53,Neutral,2025-08-03,
64,Greed,2025-08-04,
60,Greed,2025-08-05,
54,Neutral,2025-08-06,
62,Greed,2025-08-07,
74,Greed,2025-08-08,
67,Greed,2025-08-09,
69,Greed,2025-08-10,
70,Greed,2025-08-11,
68,Greed,2025-08-12,
73,Greed,2025-08-13,
75,Greed,2025-08-14,
60,Greed,2025-08-15,
56,Greed,2025-08-16,
64,Greed,2025-08-17,
60,Greed,2025-08-18,
56,Greed,2025-08-19,
44,Fear,2025-08-20,
50,Neutral,2025-08-21,
50,Neutral,2025-08-22,
60,Greed,2025-08-23,
53,Neutral,2025-08-24,
47,Neutral,2025-08-25,
48,Neutral,2025-08-26,
51,Neutral,2025-08-27,
48,Neutral,2025-08-28,
50,Neutral,2025-08-29,
39,Fear,2025-08-30,
48,Neutral,2025-08-31,
46,Fear,2025-09-01,
49,Neutral,2025-09-02,
55,Greed,2025-09-03,
51,Neutral,2025-09-04,
48,Neutral,2025-09-05,
48,Neutral,2025-09-06,
44,Fear,2025-09-07,
51,Neutral,2025-09-08,
48,Neutral,2025-09-09,
49,Neutral,2025-09-10,
54,Neutral,2025-09-11,
57,Greed,2025-09-12,
52,Neutral,2025-09-13,
55,Greed,2025-09-14,
53,Neutral,2025-09-15,
52,Neutral,2025-09-16,
53,Neutral,2025-09-17,
52,Neutral,2025-09-18,
53,Neutral,2025-09-19,
48,Neutral,2025-09-20,
49,Neutral,2025-09-21,
45,Fear,2025-09-22,
43,Fear,2025-09-23,
44,Fear,2025-09-24,
44,Fear,2025-09-25,
28,Fear,2025-09-26,
33,Fear,2025-09-27,
37,Fear,2025-09-28,
50,Neutral,2025-09-29,
50,Neutral,2025-09-30,
49,Neutral,2025-10-01,
64,Greed,2025-10-02,
63,Greed,2025-10-03,
71,Greed,2025-10-04,
74,Greed,2025-10-05,
71,Greed,2025-10-06,
70,Greed,2025-10-07,
60,Greed,2025-10-08,
70,Greed,2025-10-09,
64,Greed,2025-10-10,
27,Fear,2025-10-11,
24,Extreme Fear,2025-10-12,
38,Fear,2025-10-13,
38,Fear,2025-10-14,
34,Fear,2025-10-15,
28,Fear,2025-10-16,
22,Extreme Fear,2025-10-17,
23,Extreme Fear,2025-10-18,
29,Fear,2025-10-19,
29,Fear,2025-10-20,
34,Fear,2025-10-21,
25,Extreme Fear,2025-10-22,
27,Fear,2025-10-23,
30,Fear,2025-10-24,
37,Fear,2025-10-25,
40,Fear,2025-10-26,
51,Neutral,2025-10-27,
50,Neutral,2025-10-28,
51,Neutral,2025-10-29,
34,Fear,2025-10-30,
29,Fear,2025-10-31,
33,Fear,2025-11-01,
37,Fear,2025-11-02,
42,Fear,2025-11-03,
21,Extreme Fear,2025-11-04,
23,Extreme Fear,2025-11-05,
27,Fear,2025-11-06,
24,Extreme Fear,2025-11-07,
20,Extreme Fear,2025-11-08,
22,Extreme Fear,2025-11-09,
29,Fear,2025-11-10,
26,Fear,2025-11-11,
24,Extreme Fear,2025-11-12,
15,Extreme Fear,2025-11-13,
16,Extreme Fear,2025-11-14,
10,Extreme Fear,2025-11-15,
10,Extreme Fear,2025-11-16,
14,Extreme Fear,2025-11-17,
11,Extreme Fear,2025-11-18,
15,Extreme Fear,2025-11-19,
11,Extreme Fear,2025-11-20,
14,Extreme Fear,2025-11-21,
11,Extreme Fear,2025-11-22,
13,Extreme Fear,2025-11-23,
19,Extreme Fear,2025-11-24,
20,Extreme Fear,2025-11-25,
15,Extreme Fear,2025-11-26,
22,Extreme Fear,2025-11-27,
25,Extreme Fear,2025-11-28,
28,Fear,2025-11-29,
28,Fear,2025-11-30,
24,Extreme Fear,2025-12-01,
23,Extreme Fear,2025-12-02,
28,Fear,2025-12-03,
26,Fear,2025-12-04,
28,Fear,2025-12-05,
23,Extreme Fear,2025-12-06,
20,Extreme Fear,2025-12-07,
20,Extreme Fear,2025-12-08,
22,Extreme Fear,2025-12-09,
26,Fear,2025-12-10,
29,Fear,2025-12-11,
29,Fear,2025-12-12,
23,Extreme Fear,2025-12-13,
21,Extreme Fear,2025-12-14,
16,Extreme Fear,2025-12-15,
11,Extreme Fear,2025-12-16,
16,Extreme Fear,2025-12-17,
17,Extreme Fear,2025-12-18,
16,Extreme Fear,2025-12-19,
20,Extreme Fear,2025-12-20,
20,Extreme Fear,2025-12-21,
25,Extreme Fear,2025-12-22,
24,Extreme Fear,2025-12-23,
24,Extreme Fear,2025-12-24,
23,Extreme Fear,2025-12-25,
20,Extreme Fear,2025-12-26,
23,Extreme Fear,2025-12-27,
24,Extreme Fear,2025-12-28,
24,Extreme Fear,2025-12-29,
23,Extreme Fear,2025-12-30,
21,Extreme Fear,2025-12-31,
20,Extreme Fear,2026-01-01,
28,Fear,2026-01-02,
29,Fear,2026-01-03,
25,Extreme Fear,2026-01-04,
26,Fear,2026-01-05,
44,Fear,2026-01-06,
42,Fear,2026-01-07,
28,Fear,2026-01-08,
27,Fear,2026-01-09,
25,Extreme Fear,2026-01-10,
29,Fear,2026-01-11,
27,Fear,2026-01-12,
26,Fear,2026-01-13,
48,Neutral,2026-01-14,
61,Greed,2026-01-15,
49,Neutral,2026-01-16,
50,Neutral,2026-01-17,
49,Neutral,2026-01-18,
44,Fear,2026-01-19,
32,Fear,2026-01-20,
24,Extreme Fear,2026-01-21,
20,Extreme Fear,2026-01-22,
24,Extreme Fear,2026-01-23,
25,Extreme Fear,2026-01-24,
25,Extreme Fear,2026-01-25,
20,Extreme Fear,2026-01-26,
29,Fear,2026-01-27,
29,Fear,2026-01-28,
26,Fear,2026-01-29,
16,Extreme Fear,2026-01-30,
20,Extreme Fear,2026-01-31,
14,Extreme Fear,2026-02-01,
14,Extreme Fear,2026-02-02,
17,Extreme Fear,2026-02-03,
14,Extreme Fear,2026-02-04,
12,Extreme Fear,2026-02-05,
9,Extreme Fear,2026-02-06,
6,Extreme Fear,2026-02-07,
7,Extreme Fear,2026-02-08,
14,Extreme Fear,2026-02-09,
9,Extreme Fear,2026-02-10,
11,Extreme Fear,2026-02-11,
5,Extreme Fear,2026-02-12,
9,Extreme Fear,2026-02-13,
9,Extreme Fear,2026-02-14,
8,Extreme Fear,2026-02-15,
12,Extreme Fear,2026-02-16,
10,Extreme Fear,2026-02-17,
8,Extreme Fear,2026-02-18,
9,Extreme Fear,2026-02-19,
7,Extreme Fear,2026-02-20,
8,Extreme Fear,2026-02-21,
9,Extreme Fear,2026-02-22,
5,Extreme Fear,2026-02-23,
8,Extreme Fear,2026-02-24,
11,Extreme Fear,2026-02-25,
11,Extreme Fear,2026-02-26,
13,Extreme Fear,2026-02-27,
11,Extreme Fear,2026-02-28,
14,Extreme Fear,2026-03-01,
10,Extreme Fear,2026-03-02,
14,Extreme Fear,2026-03-03,
10,Extreme Fear,2026-03-04,
22,Extreme Fear,2026-03-05,
18,Extreme Fear,2026-03-06,
12,Extreme Fear,2026-03-07,
12,Extreme Fear,2026-03-08,
8,Extreme Fear,2026-03-09,
13,Extreme Fear,2026-03-10,
15,Extreme Fear,2026-03-11,
18,Extreme Fear,2026-03-12,
15,Extreme Fear,2026-03-13,
16,Extreme Fear,2026-03-14,
15,Extreme Fear,2026-03-15,
23,Extreme Fear,2026-03-16,
28,Fear,2026-03-17,
26,Fear,2026-03-18,
23,Extreme Fear,2026-03-19,
11,Extreme Fear,2026-03-20,
12,Extreme Fear,2026-03-21,
10,Extreme Fear,2026-03-22,
8,Extreme Fear,2026-03-23,
11,Extreme Fear,2026-03-24,
14,Extreme Fear,2026-03-25,
10,Extreme Fear,2026-03-26,
13,Extreme Fear,2026-03-27,
12,Extreme Fear,2026-03-28,74120
